名前,読み
拓海,たくみ
翔,しょう
蓮,れん
悠真,ゆうま
陽斗,はると
湊,みなと
颯太,そうた
大和,やまと
樹,いつき
蒼,あおい
健太郎,けんたろう
慎之介,しんのすけ
浩平,こうへい
隆史,たかし
雄大,ゆうだい
哲也,てつや
博,ひろし
正義,まさよし
義明,よしあき
智史,さとし
陸,りく
海斗,かいと
翼,つばさ
嵐,あらし
岳,がく
駿,しゅん
遼,りょう
楓,かえで
葵,あおい
柊,しゅう
慶介,けいすけ
隼人,はやと
蔵之介,くらのすけ
源治,げんじ
誠,まこと
律,りつ
弦,げん
暁,あきら
創,はじめ
匠,たくみ
悠太,ゆうた
陽向,ひなた
大樹,だいき
一輝,かずき
航,わたる
真司,しんじ
圭,けい
亮太,りょうた
康介,こうすけ
将太,しょうた
